52,Hakeem Adeniji,Troy Dye,Neville Gallimore,Curtis Weaver,Jordyn Brooks,Isaiah Wilson,Lloyd Cushenberry,Ezra Cleveland,Terrell Lewis,Terrell Lewis,Josh Uche,Jonathan Taylor,Julian Okwara,Terrell Lewis,Prince Tega Wanogho,Jordyn Brooks,JK Dobbins
53,Jeremy Chinn,Kyle Dugger,Jeremy Chinn,Malik Harrison,Ashtyn Davis,Noah Igbinoghene,Jeremy Chinn,Laviska Shenault,Brandon Aiyuk,K.J. Hamler,Jordyn Brooks,Terrell Lewis,Malik Harrison,Antoine Winfield ,Willie Gay,Kyle Dugger,Jalen Reagor
54,Clyde Edwards-Helaire,Jonathan Greenard,Curtis Weaver,Julian Okwara,Damien Lewis,Clyde Edwards-Helaire,Julian Okwara,Jabari Zuniga,Ezra Cleveland,JK Dobbins,Tee Higgins,Curtis Weaver,Marlon Davidson,JK Dobbins,Curtis Weaver,Jonathan Taylor,Curtis Weaver
55,Josh Uche,Logan Stenberg,Brandon Aiyuk,Tyler Biadasz,Lloyd Cushenberry,Michael Pittman,Josh Uche,Darrell Taylor,Julian Okwara,Logan Wilson,Willie Gay,JK Dobbins,Solomon Kindley,Josh Uche,Josh Uche,Jonah Jackson,Laviska Shenault
56,K'Von Wallace,Raekwon Davis,Zack Baun,Ezra Cleveland,Isaiah Wilson,Matt Peart,Isaiah Wilson,Josh Uche,Damien Lewis,Kyle Dugger,Jonah Jackson,Michael Pittman,Lloyd Cushenberry,Clyde Edwards-Helaire,JK Dobbins,JK Dobbins,Jonathan Taylor
57,Brandon Aiyuk,Jaylon Johnson,Lloyd Cushenberry,Alton Robinson,Ross Blacklock,Jordan Elliott,Jalen Reagor,Julian Okwara,Malik Harrison,Clyde Edwards-Helaire,Tyler Biadasz,Marlon Davidson,Tyler Biadasz,Lloyd Cushenberry ,Marlon Davidson,Josh Uche,Willie Gay
58,Reggie Robinson,Neville Gallimore,Jaylon Johnson,Noah Igbinoghene,Justin Madubuike,Neville Gallimore,Donovan Peoples-Jones,Neville Gallimore,Ross Blacklock,Noah Igbinoghene,Matt Hennessy,Bryce Hall,Isaiah Wilson,Justin Madubuike,Tyler Johnson,Matt Hennessy,Michael Pittman
59,Malik Harrison,Terrell Lewis,Raekwon Davis,Neville Gallimore,Terrell Lewis,Marlon Davidson,Clyde Edwards-Helaire,Jeremy Chinn,Jabari Zuniga,Cesar Ruiz,Michael Ojemudia,Lucas Niang,Kyle Dugger,Prince Tega Wanogho,Cole Kmet,Matt Peart,Marlon Davidson
60,Chase Claypool,Laviska Shenault,Solomon Kindley,Kyle Dugger,Julian Okwara,Robert Hunt,Malik Harrison,Brandon Aiyuk,Logan Stenberg,Robert Hunt,Jonathan Greenard,Netane Muti,JK Dobbins,Cam Akers,Brandon Aiyuk,Laviska Shenault,Cam Akers
61,Adam Trautman,Alton Robinson,JK Dobbins,Bryce Hall,Noah Igbinoghene,KJ Hamler,Neville Gallimore,Justin Madubuike,Hunter Bryant,Cameron Dantzler,Lucas Niang,Matt Peart,Cole Kmet,Jordan Elliott,Jordan Elliott,Damon Arnette,Jeremy Chinn
62,Trevon Diggs,Brandon Aiyuk,Malik Harrison,Austin Jackson,Jordan Elliott,Jacob Eason,Justin Madubuike,Austin Jackson,Prince Tega Wanogho,Bryan Edwards,Justin Madubuike,Lynn Bowden,Troy Dye,Damon Arnette,Akeem Davis-Gaither,Willie Gay,Jacob Eason
63,Jordyn Brooks,Bryce Hall,Cam Akers,Zack Moss,Jeremy Chinn,Cam Akers,Jaylon Johnson,JK Dobbins,Ben Bredeson,Raekwon Davis,Damon Arnette,Cam Akers,Clyde Edwards-Helaire,Willie Gay,Lloyd Cushenberry,Clyde Edwards-Helaire,Lloyd Cushenberry
64,Trevis Gipson,Shane Lemieux,Julian Okwara,Isaiah Wilson,Cole Kmet,Kyle Dugger,Matt Hennessy,Prince Tega Wanogho,Cam Akers,Prince Tega Wanogho,Chase Claypool,Jacob Eason,Trevon Diggs,Laviska Shenault,Neville Gallimore,Donovan Peoples-Jones,Akeem Davis-Gaither
